Id,Name,Day,Price,Points,AveragePoints,Matches,Goals,Card,Status,PtsJ,PtsJ-1,PtsJ-2,TotalPointsLastThreeMatches,AveragePtsLastThreeMatches,GoalsJ,GoalsJ-1,GoalsJ-2,TotalGoalsLastThreeMatches,AverageGoalsLastThreeMatches,CardsJ,CardsJ-1,CardsJ-2,TotalCardsLastThreeMatches,AverageCardsLastThreeMatches,PriceVariation
53114,Jude Bellingham,2023-11-27,22222000,138,11.5,12,11,1,apto,11,0,7,18,6.0,1,0,0,1,0.33,0,0,0,0,0.0,38000
51,Antoine Griezmann,2023-11-27,22679000,109,8.4,13,9,3,apto,10,12,3,25,8.33,1,1,0,2,0.67,0,0,0,0,0.0,33000
19562,Takefusa Kubo,2023-11-27,20013000,105,8.1,13,5,0,apto,5,3,7,15,5.0,0,0,0,0,0.0,0,0,0,0,0.0,-11000
340,Isco,2023-11-27,16790000,104,7.4,14,2,4,apto,6,9,7,22,7.33,0,0,0,0,0.0,0,0,0,0,0.0,68000
464,Aleix García,2023-11-27,18499000,99,7.6,13,3,1,apto,5,11,7,23,7.67,0,1,0,1,0.33,0,0,0,0,0.0,57000
18004,Ante Budimir,2023-11-27,13261000,96,6.9,14,7,3,apto,4,10,16,30,10.0,0,1,2,3,1.0,0,0,1,1,0.33,105000
607,Borja Mayoral,2023-11-27,13112000,96,6.9,14,8,2,apto,10,9,10,29,9.67,1,1,1,3,1.0,0,0,0,0,0.0,128000
22601,Pepelu,2023-11-27,15067000,92,6.6,14,2,2,apto,5,5,10,20,6.67,0,0,1,1,0.33,1,1,0,2,0.67,25000
476,Gerard Moreno,2023-11-27,17242000,91,7.6,12,8,0,apto,7,9,12,28,9.33,0,1,1,2,0.67,0,0,0,0,0.0,73000
29,Iñaki Williams,2023-11-27,16276000,91,7.0,13,5,2,apto,2,12,6,20,6.67,0,1,0,1,0.33,0,0,0,0,0.0,12000
564,Mikel Oyarzabal,2023-11-27,15083000,90,6.4,14,7,1,apto,3,10,5,18,6.0,0,1,0,1,0.33,0,0,0,0,0.0,34000
53111,Álvaro Valles,2023-11-27,12487000,90,6.4,14,0,0,apto,8,9,7,24,8.0,0,0,0,0,0.0,0,0,0,0,0.0,58000
55058,Artem Dovbyk,2023-11-27,12897000,88,6.8,13,7,0,apto,9,13,3,25,8.33,1,1,0,2,0.67,0,0,0,0,0.0,110000
328,Dani Carvajal,2023-11-27,15034000,86,7.2,12,2,1,apto,4,14,5,23,7.67,0,1,0,1,0.33,0,0,0,0,0.0,31000
53095,Bryan Zaragoza,2023-11-27,12090000,86,6.6,13,5,5,five,0,1,2,3,1.0,0,0,0,0,0.0,0,1,1,2,0.67,-51000
11091,Brais Méndez,2023-11-27,16033000,85,6.5,13,2,5,apto,3,0,5,8,2.67,0,0,0,0,0.0,0,0,1,1,0.33,-34000
54868,Sávio,2023-11-27,15335000,85,6.5,13,4,1,apto,10,5,5,20,6.67,1,0,0,1,0.33,0,0,0,0,0.0,35000
36371,Vedat Muriqi,2023-11-27,14723000,81,6.8,12,4,0,injury,0,4,6,10,3.33,0,0,0,0,0.0,0,0,0,0,0.0,-116000
17459,Rodrygo,2023-11-27,15920000,81,5.8,14,5,0,apto,17,17,3,37,12.33,2,2,0,4,1.33,0,0,0,0,0.0,82000
16976,Martín Zubimendi,2023-11-27,13553000,81,5.8,14,2,2,apto,6,10,6,22,7.33,0,1,0,1,0.33,0,0,1,1,0.33,106000
52372,Javier Guerra,2023-11-27,12887000,81,5.8,14,3,2,apto,1,2,4,7,2.33,0,0,0,0,0.0,0,0,1,1,0.33,-101000
15566,Yangel Herrera,2023-11-27,13176000,80,6.2,13,4,4,apto,8,5,10,23,7.67,0,0,1,1,0.33,0,1,0,1,0.33,110000
53102,Kirian Rodríguez,2023-11-27,11042000,80,5.7,14,2,4,apto,6,3,13,22,7.33,0,0,1,1,0.33,0,0,0,0,0.0,40000
52189,Ayoze Pérez,2023-11-27,12117000,78,6.0,13,4,1,apto,4,11,10,25,8.33,0,1,1,2,0.67,0,0,0,0,0.0,92000
7024,Fede Valverde,2023-11-27,17613000,78,5.6,14,1,1,apto,5,5,6,16,5.33,0,0,0,0,0.0,1,0,0,1,0.33,38000
6032,Alex Remiro,2023-11-27,11551000,77,5.5,14,0,1,apto,2,2,3,7,2.33,0,0,0,0,0.0,0,0,0,0,0.0,-59000
54896,Jonathan Bamba,2023-11-27,11071000,77,5.5,14,2,0,apto,4,8,3,15,5.0,0,1,0,1,0.33,0,0,0,0,0.0,1000
1708,Álvaro Morata,2023-11-27,15974000,76,6.3,12,7,3,apto,0,3,9,12,4.0,0,0,1,1,0.33,0,0,0,0,0.0,-11000
343,Toni Kroos,2023-11-27,15437000,76,5.4,14,1,2,apto,6,8,4,18,6.0,0,0,0,0,0.0,0,0,0,0,0.0,31000
