ID,Name,Team,posicion,Jornada,puntos_Jornada,AS,puntos_AS,MARCA,puntos_MARCA,MD,puntos_MD,SOFASCORE,puntos_SOFASCORE,puntos_Goles,puntos_Penaltis,puntos_Amarillas,puntos_Rojas,status
53114,Jude Bellingham,Real Madrid,MC,J1,14,3,10,3,10,3,10,8.4,10,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J2,19,3,10,3,10,3,10,9.4,12,8,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J3,12,3,10,2,6,2,6,8.1,10,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J4,12,2,6,3,10,2,6,7.7,8,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J5,4,2,6,1,2,1,2,7.4,7,0,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J6,3,1,2,1,-2,1,2,7.8,9,0,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J7,,,,,,,,,,,,,,Apto
53114,Jude Bellingham,Real Madrid,MC,J8,14,3,10,3,10,3,10,9.0,11,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J9,18,3,10,3,10,3,10,8.9,11,8,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J10,6,2,6,2,6,2,6,7.5,7,0,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J11,18,3,10,3,10,3,10,8.1,10,8,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J12,7,2,6,2,6,2,6,7.9,9,0,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J13,,,,,,,,,,,,,,Apto
53114,Jude Bellingham,Real Madrid,MC,J14,11,2,6,2,6,2,6,8.0,10,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J15,5,2,6,1,2,2,6,7.3,6,0,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J16,11,2,6,2,6,2,6,8.8,11,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J17,12,3,10,2,6,2,6,7.7,8,4,0,0,0,Apto
53114,Jude Bellingham,Real Madrid,MC,J18,3,1,2,1,2,1,2,7.5,7,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J1,12,2,6,2,6,3,10,7.8,9,4,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J2,6,2,6,1,2,3,10,7.5,7,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J3,5,1,2,1,2,3,10,7.4,7,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J4,19,3,10,3,10,4,14,8.8,11,8,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J5,9,3,10,2,6,3,10,8.0,10,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J6,10,2,6,1,2,3,10,7.3,6,4,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J7,,,,,,,,,,,,,,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J8,13,3,10,2,6,3,10,7.7,8,4,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J9,3,1,2,1,2,1,2,6.8,4,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J10,7,2,6,2,6,3,10,7.3,6,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J11,6,2,6,2,6,2,6,7.2,6,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J12,7,2,6,2,6,2,6,7.6,8,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J13,3,1,2,1,2,1,2,6.9,4,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J14,5,2,6,2,6,2,6,6.5,2,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J15,8,2,6,2,6,3,10,7.8,9,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J16,14,3,10,2,6,4,14,8.5,10,4,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J17,7,2,6,2,6,2,6,7.7,8,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J18,6,2,6,2,6,2,6,7.4,7,0,0,0,0,Apto
19562,Takefusa Kubo,Real Sociedad,MC,J19,7,2,6,2,6,2,6,7.8,9,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J1,2,1,-2,1,2,1,2,7.0,5,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J2,3,1,2,1,2,1,2,7.0,5,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J3,13,2,6,3,10,4,14,7.8,9,3,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J4,3,1,2,1,2,1,2,7.2,6,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J5,1,1,-2,1,-2,1,2,7.0,5,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J6,12,3,10,3,10,3,10,7.4,7,3,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J7,10,2,6,2,6,3,10,7.3,6,3,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J8,7,2,6,2,6,3,10,7.2,6,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J9,10,3,10,2,6,2,6,7.0,5,0,3,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J10,21,3,10,3,10,4,14,9.3,12,6,3,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J11,5,2,6,1,2,2,6,7.0,5,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J12,3,1,2,1,-2,2,6,7.4,7,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J13,12,3,10,2,6,3,10,8.7,11,3,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J14,10,2,6,2,6,2,6,7.9,9,3,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J15,4,2,6,1,2,1,2,7.0,5,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J16,6,1,2,1,2,3,10,7.6,8,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J17,1,1,-2,1,-2,2,6,6.7,3,0,0,0,0,Apto
51,Antoine Griezmann,Atlético,DL,J18,16,3,10,2,6,4,14,8.1,10,3,3,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J1,1,1,2,1,-2,1,2,6.6,3,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J2,9,2,6,2,6,2,6,7.5,7,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J3,9,3,10,2,6,3,10,7.9,9,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J4,3,1,2,1,2,1,2,7.3,6,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J5,11,2,6,2,6,3,10,8.3,10,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J6,11,3,10,2,6,2,6,7.9,9,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J7,12,3,10,2,6,3,10,7.7,8,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J8,4,1,2,1,2,2,6,7.1,5,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J9,7,2,6,2,6,2,6,7.9,9,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J10,4,2,6,1,2,1,2,7.2,6,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J11,6,2,6,2,6,3,10,6.6,3,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J12,12,3,10,2,6,3,10,8.4,10,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J13,2,1,2,1,2,1,2,6.4,2,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J14,11,3,10,2,6,2,6,7.8,9,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J15,11,2,6,2,6,3,10,8.2,10,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J16,9,2,6,2,6,1,2,7.7,8,3,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J17,10,3,10,3,10,3,10,7.8,9,0,0,0,0,Apto
29,Iñaki Williams,Athletic Club,DL,J18,7,2,6,2,6,2,6,7.6,8,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J1,2,1,2,1,2,1,2,6.4,2,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J2,2,1,2,1,2,1,2,6.6,3,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J3,10,2,6,2,6,3,10,7.3,6,0,3,0,0,Apto
607,Borja Mayoral,Getafe,DL,J4,9,2,6,2,6,2,6,7.4,7,3,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J5,3,1,2,1,2,1,2,6.8,4,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J6,9,2,6,1,2,2,6,7.6,8,0,3,0,0,Apto
607,Borja Mayoral,Getafe,DL,J7,2,1,2,1,2,1,2,6.6,3,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J8,5,2,6,1,2,2,6,6.9,4,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J9,12,2,6,3,10,3,10,8.1,10,3,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J10,10,2,6,2,6,2,6,7.6,8,3,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J11,3,1,2,1,2,1,2,6.8,4,0,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J12,10,2,6,2,6,3,10,7.3,6,3,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J13,9,1,2,2,6,3,10,7.1,5,3,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J14,10,2,6,2,6,3,10,7.3,6,3,0,0,0,Apto
607,Borja Mayoral,Getafe,DL,J15,2,1,2,1,2,1,2,6.1,0,0,0,0,0,Apto
